Alloy,Finish,Length_m,Weight_kg_per_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Steel,Powder coated,37.2,1.495,Clipsprofil,0.108,low,33067,2.7,micro,2,4.15,2025-09-02
Nickel,Plasma sprayed,17.1,1.468,Rörprofil,0.122,high,36195,2.75,small,4,4.09,2025-12-04
Brass,Blackening,37.4,0.96,Pärlspont,0.071,high,90326,3.21,large,6,3.14,2025-04-18
Titanium,Anodized,23.9,1.11,Hörnvinkel,0.062,medium,150442,3.76,medium,7,2.07,2025-07-31
Steel,Anodized,18.1,1.164,Korsprofil,0.174,low,75268,3.98,large,2,3.4,2025-06-05
Tin,Polished,27.0,1.57,Ändprofil,0.197,high,72397,3.61,medium,10,3.45,2025-01-26
Copper,Plasma sprayed,21.7,1.091,Spröjsprofil,0.111,high,47632,2.72,large,4,3.89,2025-03-23
Steel,Polished,22.3,1.029,H-profil,0.063,low,46921,3.62,medium,11,3.9,2025-03-24
Brass,Plasma sprayed,22.8,1.709,Ramlist,0.06,medium,109170,3.56,micro,4,2.8,2025-05-11
Titanium,Hot-dip galvanized,34.3,0.845,Vinkellist,0.184,low,50474,3.83,medium,12,3.84,2025-11-25
Nickel,Powder coated,28.2,1.746,Pärlspont,0.12,medium,156657,3.86,medium,3,1.96,2025-04-10
Brass,Hot-dip galvanized,22.9,1.454,Täckprofil,0.098,low,131489,3.93,large,9,2.41,2025-09-13
Brass,Phosphated,29.9,1.592,Vinkellist,0.121,low,72802,3.21,large,4,3.45,2025-02-18
Copper,Brushed,32.3,1.106,Glasningslist,0.098,low,68974,3.66,large,7,3.51,2025-03-04
Zinc,Electroplated,22.0,0.85,Sidoprofil,0.123,low,69560,2.98,small,3,3.5,2025-11-07
Titanium,Plasma sprayed,25.3,1.509,Glasningslist,0.179,medium,74798,4.14,small,8,3.41,2025-10-17
Aluminium,Phosphated,18.5,1.597,Clipsprofil,0.139,medium,99909,2.83,medium,5,2.97,2025-04-15
Brass,Brushed,19.9,1.512,Isolerprofil,0.154,high,81764,2.57,medium,10,3.29,2025-04-15
Zinc,Blackening,31.5,0.967,Glasningslist,0.105,low,104105,2.79,micro,11,2.89,2025-11-21
Aluminium,Chrome plated,19.9,1.523,Tätningslist,0.161,medium,97219,3.78,micro,10,3.01,2025-01-15
Titanium,Powder coated,27.9,1.538,Foglist,0.15,medium,160864,3.26,medium,8,1.89,2025-06-24
Iron,Polished,32.1,1.437,Sidoprofil,0.068,medium,86769,3.26,small,9,3.2,2025-09-16
Tin,Polished,18.2,1.535,Hakprofilslist,0.136,low,49494,4.07,medium,4,3.86,2025-07-30
Zinc,Hot-dip galvanized,28.9,1.608,L-profil,0.089,high,59111,4.01,micro,12,3.69,2025-09-16
Lead,Anodized,21.7,1.396,Spröjsprofil,0.171,medium,104677,3.04,small,6,2.88,2025-04-12
Iron,Brushed,38.0,0.918,Skenprofil,0.114,low,158037,2.88,small,3,1.94,2025-09-17
Tin,Chrome plated,26.9,1.281,Z-profil,0.199,medium,76023,3.9,micro,11,3.39,2025-12-10
Copper,Phosphated,34.4,0.908,Glaskil,0.064,medium,132636,3.99,medium,8,2.39,2025-06-08
Steel,Powder coated,28.5,1.208,Fönsterbleck,0.167,high,107535,3.41,large,9,2.83,2025-02-14
Nickel,Brushed,16.7,1.208,Mittpost,0.151,medium,143341,3.55,medium,10,2.2,2025-10-28
Lead,Chrome plated,30.4,0.897,H-profil,0.165,medium,108598,2.96,medium,12,2.81,2025-09-08
Copper,Electroplated,37.7,1.155,Fönsterbleck,0.096,low,91538,3.82,micro,12,3.12,2025-11-27
Titanium,Plasma sprayed,29.6,0.938,Vinkellist,0.124,low,160653,3.56,small,8,1.89,2025-06-14
Copper,Polished,34.7,1.573,T-profil,0.169,high,137733,3.35,micro,11,2.3,2025-07-12
Steel,Phosphated,36.2,1.7,Karmprofil,0.085,low,149693,2.65,medium,11,2.09,2025-01-09
Titanium,Polished,21.0,0.903,Kantprofil,0.084,low,139392,4.01,large,9,2.27,2025-03-06
Lead,Phosphated,20.6,1.707,J-profil,0.133,high,34447,3.53,large,10,4.13,2025-10-09
Steel,Hot-dip galvanized,29.9,1.313,Avvattningsprofil,0.129,medium,131219,2.86,large,7,2.41,2025-06-30
Aluminium,Anodized,25.2,1.11,Korsprofil,0.092,high,131551,3.51,micro,11,2.41,2025-10-09
Nickel,Phosphated,35.2,0.907,Ändprofil,0.095,low,70745,3.63,small,3,3.48,2025-10-06
Lead,Polished,36.6,1.293,Isolerprofil,0.092,high,86103,3.39,micro,3,3.21,2025-01-30
Aluminium,Hot-dip galvanized,23.9,1.561,Karmprofil,0.166,medium,159553,3.69,large,5,1.91,2025-09-23
Tin,Phosphated,21.2,1.481,Bottenlist,0.148,high,93408,3.47,medium,10,3.08,2025-11-24
Lead,Electroplated,33.8,0.883,J-profil,0.175,low,138470,4.06,small,8,2.29,2025-08-05
Tin,Anodized,22.1,0.904,Tätningslist,0.196,low,34313,2.64,micro,3,4.13,2025-11-16
Titanium,Phosphated,34.8,1.204,Z-profil,0.121,high,117917,2.72,micro,9,2.65,2025-04-15
Aluminium,Hot-dip galvanized,25.5,1.106,Foglist,0.06,medium,114710,2.83,small,12,2.71,2025-07-03
Nickel,Blackening,31.2,1.049,H-profil,0.057,high,85802,3.65,small,8,3.22,2025-11-26
Steel,Brushed,17.9,1.093,Fönsterbåge,0.094,medium,149416,3.58,medium,10,2.09,2025-05-28
Brass,Wet painted,30.2,1.569,Korsprofil,0.19,medium,70055,3.97,small,9,3.5,2025-04-15
Copper,Chrome plated,26.2,1.684,Spröjsprofil,0.128,high,41033,3.72,medium,4,4.01,2025-02-16
Iron,Wet painted,29.3,1.206,Glasningslist,0.091,medium,41779,3.36,large,2,4.0,2025-03-28
Nickel,Blackening,19.6,1.662,Foglist,0.11,low,107661,4.13,large,3,2.83,2025-11-05
Aluminium,Wet painted,32.8,1.13,Ändprofil,0.14,high,53604,2.97,micro,3,3.79,2025-05-09
Brass,Blackening,35.7,1.271,Distansprofil,0.148,medium,67994,3.87,large,5,3.53,2025-09-15
Nickel,Powder coated,20.7,1.043,Clipsprofil,0.073,low,156532,3.23,large,7,1.97,2025-11-10
Aluminium,Blackening,17.9,1.421,Innerbåge,0.197,high,137886,3.58,medium,5,2.3,2025-05-27
Zinc,Blackening,16.3,1.729,Isolerprofil,0.132,low,113471,3.71,micro,10,2.73,2025-03-13
Zinc,Blackening,30.6,1.387,Glashållare,0.07,low,146451,3.56,small,5,2.14,2025-05-20
Tin,Electroplated,29.8,1.163,Karmlist,0.184,low,118596,2.77,micro,7,2.64,2025-01-27
Nickel,Brushed,28.4,1.427,J-profil,0.061,medium,41790,3.25,large,7,4.0,2025-01-29
Zinc,Plasma sprayed,21.1,0.949,J-profil,0.186,high,53552,3.44,small,11,3.79,2025-09-28
Aluminium,Phosphated,24.8,1.647,Kantskydd,0.199,high,137590,3.9,micro,12,2.3,2025-06-23
Tin,Chrome plated,29.5,1.295,Kantskydd,0.155,medium,39162,3.26,micro,11,4.04,2025-09-10
Aluminium,Anodized,27.2,1.246,Rörprofil,0.166,high,142763,4.01,micro,2,2.21,2025-03-01
Tin,Brushed,38.6,1.371,Ventilationslister,0.101,low,102259,3.25,micro,9,2.93,2025-04-17
Nickel,Polished,18.9,1.406,Karmprofil,0.191,high,42750,3.42,medium,4,3.98,2025-08-08
Brass,Plasma sprayed,31.8,0.903,Mittpost,0.129,medium,88322,3.82,micro,7,3.17,2025-09-16
Steel,Powder coated,25.1,1.459,Kopplingsprofil,0.16,low,160198,3.48,large,4,1.9,2025-05-26
Lead,Powder coated,25.6,1.058,Innerbåge,0.189,medium,94291,4.08,large,12,3.07,2025-02-21
Brass,Blackening,32.3,1.487,Avvattningsprofil,0.196,low,73227,3.6,medium,3,3.44,2025-03-01
Titanium,Brushed,31.8,1.586,Anslagslist,0.175,low,132677,3.38,small,6,2.39,2025-02-03
Aluminium,Hot-dip galvanized,38.7,1.569,Glasningslist,0.095,high,120390,2.59,small,2,2.61,2025-04-06
Titanium,Wet painted,18.7,1.34,Glashållare,0.195,low,82153,3.21,large,10,3.28,2025-03-30
Brass,Polished,18.1,1.311,Ramlist,0.144,medium,64126,3.03,large,12,3.6,2025-11-12
Tin,Powder coated,32.5,0.967,Kantskydd,0.19,high,75179,3.74,medium,8,3.4,2025-08-19
Lead,Chrome plated,29.1,1.543,Ramlist,0.151,medium,89565,2.88,small,4,3.15,2025-10-02
Lead,Powder coated,22.1,1.084,Ramlist,0.096,low,104661,2.88,small,5,2.88,2025-09-03
Iron,Anodized,17.6,1.29,Skenprofil,0.106,medium,141256,2.85,micro,7,2.24,2025-04-21
Lead,Phosphated,17.7,1.096,Mittpost,0.133,medium,110290,2.75,micro,4,2.78,2025-08-22
Steel,Powder coated,36.4,0.959,Glashållare,0.169,low,122087,3.04,micro,8,2.58,2025-10-05
Lead,Anodized,20.2,1.411,H-profil,0.098,high,118484,3.96,medium,7,2.64,2025-06-15
Brass,Brushed,23.2,0.887,Ventilationslister,0.137,medium,73036,3.78,large,10,3.44,2025-05-08
Iron,Brushed,21.0,1.519,Glasningslist,0.102,low,56830,3.72,medium,6,3.73,2025-08-25
Brass,Plasma sprayed,23.9,1.126,Pärlspont,0.172,high,110352,3.82,small,5,2.78,2025-10-18
Brass,Powder coated,17.3,0.837,T-profil,0.12,high,79358,2.98,large,4,3.33,2025-04-17
Copper,Chrome plated,27.7,1.303,U-profil,0.062,high,138380,3.96,micro,11,2.29,2025-05-08
Iron,Powder coated,17.3,0.88,Droppnäsa,0.075,medium,106394,2.77,medium,2,2.85,2025-07-14
Brass,Chrome plated,34.2,1.089,Avvattningsprofil,0.059,medium,106555,3.08,medium,4,2.85,2025-12-05
Copper,Electroplated,21.1,1.481,Mittpost,0.125,medium,37186,3.48,micro,4,4.08,2025-05-23
Copper,Blackening,28.2,0.894,Kilspår,0.066,high,158898,2.71,medium,8,1.92,2025-04-21
Iron,Plasma sprayed,36.1,1.602,Ventilationslister,0.067,medium,126021,3.71,micro,8,2.51,2025-03-31
Titanium,Electroplated,30.8,0.841,Anslagslist,0.191,low,150923,3.17,small,2,2.07,2025-09-08
Tin,Powder coated,28.1,1.062,Clipsprofil,0.181,medium,69687,3.8,large,4,3.5,2025-10-07
Steel,Plasma sprayed,23.2,1.512,Korsprofil,0.118,medium,53875,3.33,small,9,3.78,2025-11-29
Tin,Electroplated,23.4,1.125,Hakprofil,0.198,high,144560,2.84,small,10,2.18,2025-08-12
Lead,Wet painted,31.2,0.93,Stödprofil,0.05,medium,140949,3.72,micro,8,2.24,2025-04-11
Steel,Powder coated,38.7,1.165,Distansprofil,0.142,low,71943,2.95,medium,8,3.46,2025-05-12
Lead,Electroplated,31.0,1.084,Innerbåge,0.142,high,42400,3.33,small,12,3.98,2025-01-13
Brass,Wet painted,28.6,1.605,Avvattningsprofil,0.119,low,92656,2.67,small,9,3.1,2025-04-08
Aluminium,Wet painted,32.6,1.123,Kilspår,0.11,high,40156,3.53,small,7,4.02,2025-04-30
Iron,Brushed,26.5,1.556,Skenprofil,0.118,high,70469,3.61,medium,12,3.49,2025-10-20
Steel,Powder coated,17.1,1.65,Kantprofil,0.112,medium,61104,3.15,medium,4,3.65,2025-10-31
Steel,Wet painted,28.7,1.232,Kopplingsprofil,0.16,low,68090,4.07,micro,2,3.53,2025-07-18
Brass,Brushed,37.9,1.666,H-profil,0.07,high,63288,3.94,small,8,3.61,2025-01-01
Titanium,Electroplated,19.8,1.181,Glasningslist,0.08,medium,142279,3.68,large,2,2.22,2025-03-01
Copper,Anodized,31.7,1.715,Mittpost,0.077,high,108748,3.68,medium,2,2.81,2025-09-07
Brass,Powder coated,20.4,0.919,Doldbeslag,0.089,high,70806,2.95,micro,10,3.48,2025-05-20
Zinc,Plasma sprayed,28.1,1.463,Glashållare,0.129,high,145730,3.59,small,11,2.16,2025-05-29
Copper,Chrome plated,18.0,1.287,Glaskil,0.067,high,120204,2.87,large,8,2.61,2025-02-13
Iron,Chrome plated,26.1,1.19,Vinkellist,0.18,high,99606,2.78,medium,12,2.97,2025-07-05
Copper,Electroplated,33.2,1.413,Baslister,0.095,high,44605,4.14,large,5,3.95,2025-04-18
Titanium,Hot-dip galvanized,23.8,1.478,Hakprofil,0.074,medium,42269,3.54,medium,7,3.99,2025-02-13
Copper,Hot-dip galvanized,31.1,0.841,Mittpost,0.151,high,44704,3.24,micro,2,3.94,2025-03-19
Iron,Electroplated,34.1,0.989,T-profil,0.056,low,41289,3.01,large,8,4.0,2025-08-14
Titanium,Wet painted,37.2,1.487,Skarvprofil,0.143,medium,97605,3.51,small,7,3.01,2025-06-11
Tin,Powder coated,21.2,1.444,J-profil,0.155,low,68283,2.63,small,5,3.53,2025-10-08
Steel,Chrome plated,25.0,1.717,Kantprofil,0.082,high,142584,2.7,medium,8,2.21,2025-09-10
Steel,Chrome plated,19.3,1.53,Skenprofil,0.056,low,71762,2.6,small,4,3.47,2025-05-12
Lead,Wet painted,38.7,1.703,Sidoprofil,0.105,high,51660,3.34,large,2,3.82,2025-05-24
Tin,Chrome plated,37.2,1.477,Kopplingsprofil,0.065,high,117957,3.5,micro,5,2.65,2025-09-23
Tin,Plasma sprayed,28.2,1.109,Mittpost,0.067,medium,58587,2.65,medium,4,3.7,2025-04-19
Copper,Powder coated,35.2,0.933,H-profil,0.088,medium,97772,3.7,large,2,3.01,2025-07-13
Steel,Phosphated,27.8,1.549,Korsprofil,0.094,high,147740,2.92,medium,3,2.12,2025-02-04
Iron,Chrome plated,30.2,1.424,Korsprofil,0.129,medium,141265,3.64,micro,12,2.24,2025-10-02
Nickel,Electroplated,17.8,0.881,Z-profil,0.152,low,93613,4.11,medium,6,3.08,2025-07-06
Nickel,Plasma sprayed,33.2,1.165,L-profil,0.139,medium,66460,3.65,small,9,3.56,2025-08-31
Titanium,Chrome plated,18.7,1.709,Täckprofil,0.072,medium,39089,3.95,small,2,4.04,2025-09-21
Steel,Blackening,34.8,1.293,Z-profil,0.076,low,59481,4.06,medium,5,3.68,2025-01-10
Steel,Plasma sprayed,33.8,1.231,Täckprofil,0.182,medium,46685,3.32,micro,5,3.91,2025-06-15
Nickel,Brushed,32.1,1.254,Doldbeslag,0.134,high,114897,3.67,micro,6,2.7,2025-01-29
Steel,Phosphated,16.6,1.027,Rörprofil,0.18,low,97941,3.9,small,8,3.0,2025-09-28
Copper,Polished,22.7,1.173,Kilspår,0.106,high,76547,3.12,micro,9,3.38,2025-03-28
Zinc,Electroplated,21.8,1.174,Karmprofil,0.142,low,118973,2.97,medium,7,2.63,2025-01-23
Aluminium,Electroplated,24.1,0.885,H-profil,0.129,high,132550,4.06,large,2,2.39,2025-07-29
Tin,Powder coated,17.8,1.536,Korsprofil,0.098,high,37844,3.7,medium,8,4.06,2025-02-15
Lead,Plasma sprayed,37.4,1.217,Sidoprofil,0.12,medium,148083,2.9,small,4,2.12,2025-01-28
Titanium,Wet painted,28.5,1.586,Sidoprofil,0.125,high,45575,3.26,small,7,3.93,2025-01-26
Zinc,Electroplated,22.8,1.612,Baslister,0.08,medium,137589,3.82,small,9,2.3,2025-09-23
Nickel,Plasma sprayed,24.9,1.03,Skarvprofil,0.097,low,95548,3.42,micro,8,3.04,2025-06-24
Tin,Plasma sprayed,26.1,1.436,H-profil,0.169,high,66850,3.58,medium,11,3.55,2025-01-04
Steel,Blackening,29.6,1.267,Distansprofil,0.187,high,85993,3.75,large,7,3.21,2025-11-07
Lead,Anodized,27.7,1.639,Spröjsprofil,0.104,low,51941,3.54,medium,10,3.82,2025-11-18
Steel,Anodized,37.0,1.034,Täckprofil,0.096,low,104049,3.41,large,10,2.89,2025-03-08
Iron,Polished,27.2,1.455,Anslagslist,0.079,high,157177,3.74,medium,2,1.95,2025-05-15
Iron,Brushed,38.7,1.391,Glaskil,0.152,low,112321,3.71,small,2,2.75,2025-02-24
Lead,Polished,35.4,1.106,J-profil,0.098,medium,47905,3.55,large,2,3.89,2025-01-31
Lead,Chrome plated,20.6,0.962,Hakprofilslist,0.198,low,135473,3.12,medium,9,2.34,2025-03-15
Nickel,Wet painted,37.3,1.431,Fönsterbåge,0.099,low,83013,3.2,micro,11,3.27,2025-01-19
Lead,Chrome plated,18.4,1.51,Kopplingsprofil,0.109,high,52690,4.09,micro,8,3.8,2025-06-05
Copper,Hot-dip galvanized,34.6,1.125,Dekorlist,0.141,medium,107703,2.73,medium,4,2.83,2025-12-03
Steel,Chrome plated,24.5,1.425,J-profil,0.17,low,90766,2.98,small,3,3.13,2025-06-05
Zinc,Powder coated,36.0,1.197,Droppnäsa,0.12,medium,36281,3.33,large,5,4.09,2025-05-27
Brass,Chrome plated,35.8,1.487,Pärlspont,0.113,medium,41793,3.88,medium,4,4.0,2025-03-28
Lead,Polished,34.4,1.019,Skenprofil,0.199,medium,103518,2.81,micro,8,2.9,2025-01-20
Titanium,Electroplated,34.0,1.648,Karmprofil,0.052,high,103618,2.99,large,11,2.9,2025-09-26
Iron,Electroplated,22.8,1.099,Kantprofil,0.184,low,147931,2.65,micro,9,2.12,2025-11-29
Copper,Anodized,17.6,1.172,Mittpost,0.072,high,151538,3.67,micro,7,2.05,2025-02-12
Tin,Wet painted,25.1,0.89,Doldbeslag,0.168,low,127635,2.93,medium,4,2.48,2025-11-02
Brass,Wet painted,19.7,0.939,Kantskydd,0.143,low,139741,3.17,micro,7,2.26,2025-01-28
Zinc,Powder coated,31.8,1.307,Hörnvinkel,0.101,high,49284,3.26,large,3,3.86,2025-09-17
Brass,Polished,23.7,1.081,Glaskil,0.181,medium,157880,3.97,small,8,1.94,2025-01-22
Lead,Anodized,38.3,1.598,Pärlspont,0.052,medium,143616,3.2,medium,12,2.19,2025-04-11
Nickel,Blackening,30.6,0.851,Mittpost,0.084,low,55060,2.78,large,11,3.76,2025-02-08
Iron,Hot-dip galvanized,34.8,1.183,Glashållare,0.135,high,123829,3.38,medium,8,2.54,2025-10-17
Iron,Wet painted,18.8,1.144,Fönsterbleck,0.103,medium,33824,4.08,micro,5,4.14,2025-12-19
Tin,Electroplated,35.7,0.855,F-profil,0.142,medium,150754,3.52,micro,9,2.07,2025-10-27
Nickel,Chrome plated,37.1,0.951,Karmlist,0.054,low,81702,4.11,large,5,3.29,2025-06-19
Steel,Chrome plated,27.0,1.214,Ramlist,0.067,low,123956,3.89,large,8,2.54,2025-10-23
Aluminium,Anodized,29.8,1.286,Mittpost,0.069,high,97914,2.61,small,5,3.0,2025-12-19
Copper,Polished,33.4,1.205,Glashållare,0.078,low,68191,3.6,large,6,3.53,2025-05-10
Iron,Polished,19.8,1.321,Ändprofil,0.119,medium,123309,3.01,large,8,2.55,2025-06-05
Titanium,Brushed,27.4,1.379,Sidoprofil,0.163,medium,72132,3.44,medium,11,3.46,2025-03-15
Iron,Phosphated,25.0,0.846,Hörnvinkel,0.186,medium,78136,2.99,micro,4,3.35,2025-12-08
Brass,Wet painted,19.1,1.26,U-profil,0.175,medium,106253,3.1,large,11,2.86,2025-03-31
Iron,Polished,24.2,1.715,Doldbeslag,0.08,high,45662,4.02,small,6,3.93,2025-03-08
Iron,Electroplated,17.3,1.31,Isolerprofil,0.116,high,99045,2.88,large,12,2.98,2025-08-24
Aluminium,Anodized,16.3,1.454,Foglist,0.08,low,70221,3.94,micro,4,3.49,2025-07-19
Aluminium,Hot-dip galvanized,18.9,1.121,Sidoprofil,0.09,low,102734,2.6,large,6,2.92,2025-11-28
Zinc,Brushed,38.0,1.542,Sidoprofil,0.126,low,160017,2.69,medium,4,1.9,2025-08-15
Steel,Plasma sprayed,28.4,1.541,T-profil,0.06,high,50862,3.91,micro,12,3.83,2025-12-14
Titanium,Powder coated,38.1,1.312,Ytterram,0.083,medium,96810,3.55,large,11,3.02,2025-08-21
Iron,Hot-dip galvanized,25.7,1.726,Mittpost,0.19,low,108707,3.74,medium,12,2.81,2025-09-23
Iron,Plasma sprayed,22.9,0.952,Skenprofil,0.12,medium,39910,2.88,micro,8,4.03,2025-03-27
Copper,Blackening,27.4,0.853,Vinkellist,0.117,low,141681,3.4,large,2,2.23,2025-04-12
Aluminium,Chrome plated,25.9,1.539,Glaskil,0.052,low,125218,3.72,medium,10,2.52,2025-08-02
Titanium,Powder coated,18.2,1.572,Z-profil,0.087,low,48091,3.55,small,10,3.88,2025-04-18
Tin,Wet painted,30.6,0.947,Kopplingsprofil,0.18,low,90347,3.3,medium,6,3.14,2025-06-14
Zinc,Electroplated,20.7,1.079,Kilspår,0.075,low,133148,4.08,small,10,2.38,2025-04-01
Steel,Powder coated,30.1,0.853,Bottenlist,0.112,medium,136126,3.63,large,11,2.33,2025-07-11
Nickel,Phosphated,30.8,1.104,Avvattningsprofil,0.052,low,100206,3.99,medium,7,2.96,2025-12-01
Steel,Plasma sprayed,19.2,1.541,Glashållare,0.122,medium,51965,3.71,small,6,3.82,2025-03-27
Brass,Wet painted,17.1,1.309,L-profil,0.053,high,102546,3.72,micro,4,2.92,2025-08-10
Iron,Phosphated,33.8,1.154,Skenprofil,0.173,low,98164,2.68,medium,12,3.0,2025-12-29
Zinc,Chrome plated,26.4,1.176,Mittpost,0.174,medium,78751,3.12,large,12,3.34,2025-04-11
Brass,Phosphated,17.1,0.838,H-profil,0.168,high,136183,3.91,micro,9,2.33,2025-08-14
Titanium,Brushed,38.8,1.11,Hörnvinkel,0.093,high,118448,2.92,small,5,2.64,2025-12-30
Nickel,Brushed,17.1,1.426,Hakprofilslist,0.176,high,78190,2.73,medium,11,3.35,2025-03-01
